sub_head,material_details,unit,is_active,created_by
Construction Work,Pump House,Job,true,+919883321834
Construction Work,Solar Foundation,Job,true,+919883321834
Construction Work,Boundary Wall,Job,true,+919883321834
Construction Work,Guard Wall,Job,true,+919883321834
Construction Work,Drain,Job,true,+919883321834
Construction Work,Road Repair,Job,true,+919883321834
FHTC Work,FHTC,Nos,true,+919883321834
Solar Work,Solar Installation,Job,true,+919883321834
Rock Work,Rock Breaking,Job,true,+919883321834
Rock Work,Rock Blasting,Job,true,+919883321834
Hydram Work,Hydram Installation,Job,true,+919883321834
Drake  Well Work,Drake Well,Job,true,+919883321834
